Date,Product,Quantity
2025-01-01,Laptop Pro X1,114
2025-01-01,Monitor 27inch,79
2025-01-01,Mechanical Keyboard,164
2025-01-01,USB-C Hub,134
2025-01-01,Wireless Mouse,194
2025-01-02,Mechanical Keyboard,167
2025-01-02,USB-C Hub,115
2025-01-02,Monitor 27inch,68
2025-01-02,Laptop Pro X1,130
2025-01-02,Wireless Mouse,191
2025-01-03,USB-C Hub,116
2025-01-03,Laptop Pro X1,130
2025-01-03,Mechanical Keyboard,145
2025-01-03,Monitor 27inch,62
2025-01-03,Wireless Mouse,186
2025-01-04,Monitor 27inch,70
2025-01-04,USB-C Hub,134
2025-01-04,Mechanical Keyboard,145
2025-01-04,Laptop Pro X1,168
2025-01-04,Wireless Mouse,195
2025-01-05,USB-C Hub,145
2025-01-05,Mechanical Keyboard,159
2025-01-05,Wireless Mouse,202
2025-01-05,Laptop Pro X1,152
2025-01-05,Monitor 27inch,83
2025-01-06,Monitor 27inch,55
2025-01-06,USB-C Hub,142
2025-01-06,Laptop Pro X1,132
2025-01-06,Mechanical Keyboard,120
2025-01-06,Wireless Mouse,185
2025-01-07,USB-C Hub,113
2025-01-07,Monitor 27inch,59
2025-01-07,Laptop Pro X1,139
2025-01-07,Mechanical Keyboard,123
2025-01-07,Wireless Mouse,167
2025-01-08,USB-C Hub,130
2025-01-08,Mechanical Keyboard,145
2025-01-08,Monitor 27inch,64
2025-01-08,Laptop Pro X1,119
2025-01-08,Wireless Mouse,179
2025-01-09,Wireless Mouse,194
2025-01-09,Laptop Pro X1,131
2025-01-09,USB-C Hub,116
2025-01-09,Monitor 27inch,58
2025-01-09,Mechanical Keyboard,132
2025-01-10,Mechanical Keyboard,130
2025-01-10,USB-C Hub,116
2025-01-10,Wireless Mouse,179
2025-01-10,Laptop Pro X1,126
2025-01-10,Monitor 27inch,70
2025-01-11,Monitor 27inch,91
2025-01-11,Wireless Mouse,222
2025-01-11,USB-C Hub,155
2025-01-11,Mechanical Keyboard,144
2025-01-11,Laptop Pro X1,139
2025-01-12,USB-C Hub,134
2025-01-12,Mechanical Keyboard,163
2025-01-12,Wireless Mouse,217
2025-01-12,Monitor 27inch,85
2025-01-12,Laptop Pro X1,158
2025-01-13,Mechanical Keyboard,130
2025-01-13,USB-C Hub,106
2025-01-13,Wireless Mouse,198
2025-01-13,Monitor 27inch,73
2025-01-13,Laptop Pro X1,133
2025-01-14,Wireless Mouse,163
2025-01-14,Mechanical Keyboard,132
2025-01-14,Laptop Pro X1,132
2025-01-14,USB-C Hub,130
2025-01-14,Monitor 27inch,32
2025-01-15,Laptop Pro X1,134
2025-01-15,Wireless Mouse,187
2025-01-15,Monitor 27inch,50
2025-01-15,USB-C Hub,121
2025-01-15,Mechanical Keyboard,147
2025-01-16,Laptop Pro X1,131
2025-01-16,Mechanical Keyboard,118
2025-01-16,Wireless Mouse,191
2025-01-16,Monitor 27inch,71
2025-01-16,USB-C Hub,118
2025-01-17,Laptop Pro X1,138
2025-01-17,Mechanical Keyboard,138
2025-01-17,Monitor 27inch,83
2025-01-17,USB-C Hub,129
2025-01-17,Wireless Mouse,201
2025-01-18,Wireless Mouse,207
2025-01-18,USB-C Hub,152
2025-01-18,Laptop Pro X1,157
2025-01-18,Monitor 27inch,73
2025-01-18,Mechanical Keyboard,158
2025-01-19,Laptop Pro X1,146
2025-01-19,Mechanical Keyboard,162
2025-01-19,Wireless Mouse,224
2025-01-19,USB-C Hub,142
2025-01-19,Monitor 27inch,78
2025-01-20,Monitor 27inch,66
2025-01-20,USB-C Hub,123
2025-01-20,Wireless Mouse,185
2025-01-20,Mechanical Keyboard,152
2025-01-20,Laptop Pro X1,127
2025-01-21,Monitor 27inch,67
2025-01-21,USB-C Hub,127
2025-01-21,Wireless Mouse,195
2025-01-21,Mechanical Keyboard,142
2025-01-21,Laptop Pro X1,122
2025-01-22,USB-C Hub,120
2025-01-22,Mechanical Keyboard,135
2025-01-22,Monitor 27inch,76
2025-01-22,Wireless Mouse,174
2025-01-22,Laptop Pro X1,128
2025-01-23,Wireless Mouse,197
2025-01-23,USB-C Hub,113
2025-01-23,Monitor 27inch,57
2025-01-23,Laptop Pro X1,137
2025-01-23,Mechanical Keyboard,141
2025-01-24,USB-C Hub,117
2025-01-24,Mechanical Keyboard,151
2025-01-24,Laptop Pro X1,116
2025-01-24,Wireless Mouse,175
2025-01-24,Monitor 27inch,57
2025-01-25,USB-C Hub,127
2025-01-25,Mechanical Keyboard,157
