iter	Passed	Remaining
0	138	27583
1	148	14681
2	155	10211
3	163	8029
4	170	6657
5	175	5687
6	181	5015
7	187	4489
8	195	4141
9	200	3811
10	205	3533
11	212	3331
12	218	3150
13	224	2977
14	230	2841
15	236	2720
16	242	2606
17	249	2518
18	254	2421
19	268	2419
20	274	2335
21	281	2280
22	286	2208
23	292	2148
24	300	2100
25	305	2043
26	312	2005
27	318	1955
28	323	1906
29	330	1874
30	336	1832
31	341	1794
32	348	1765
33	356	1741
34	362	1711
35	368	1676
36	373	1644
37	382	1629
38	389	1607
39	398	1595
40	406	1575
41	414	1558
42	421	1538
43	428	1520
44	435	1501
45	444	1486
46	451	1468
47	459	1454
48	466	1437
49	482	1448
50	493	1440
51	500	1423
52	509	1414
53	524	1417
54	530	1399
55	539	1386
56	545	1369
57	556	1363
58	563	1347
59	572	1335
60	578	1319
61	589	1312
62	604	1314
63	614	1305
64	622	1293
65	635	1290
66	653	1296
67	672	1305
68	682	1296
69	694	1288
70	710	1290
71	742	1320
72	763	1328
73	776	1322
74	788	1313
75	797	1301
76	810	1294
77	818	1280
78	828	1268
79	838	1257
80	845	1241
81	854	1229
82	862	1216
83	871	1203
84	880	1190
85	889	1178
86	896	1165
87	906	1153
88	914	1140
89	920	1125
90	930	1114
91	937	1100
92	944	1086
93	951	1073
94	959	1060
95	967	1048
96	975	1036
97	984	1024
98	990	1010
99	999	999
100	1006	986
101	1019	979
102	1027	967
103	1036	956
104	1044	944
105	1051	932
106	1057	919
107	1065	907
108	1072	895
109	1081	884
110	1088	872
111	1099	863
112	1106	851
113	1115	841
114	1121	829
115	1129	818
116	1136	806
117	1151	800
118	1160	790
119	1169	779
120	1179	770
121	1186	758
122	1193	747
123	1203	737
124	1212	727
125	1219	716
126	1227	705
127	1236	695
128	1248	686
129	1256	676
130	1264	666
131	1271	655
132	1279	644
133	1288	634
134	1296	624
135	1305	614
136	1313	603
137	1320	593
138	1329	583
139	1338	573
140	1346	563
141	1354	553
142	1361	542
143	1369	532
144	1376	522
145	1384	512
146	1393	502
147	1404	493
148	1413	483
149	1420	473
150	1434	465
151	1443	455
152	1450	445
153	1459	435
154	1465	425
155	1474	415
156	1481	405
157	1489	395
158	1498	386
159	1510	377
160	1518	367
161	1527	358
162	1535	348
163	1542	338
164	1549	328
165	1555	318
166	1563	308
167	1571	299
168	1578	289
169	1585	279
170	1592	270
171	1599	260
172	1606	250
173	1617	241
174	1624	232
175	1631	222
176	1641	213
177	1654	204
178	1660	194
179	1668	185
180	1678	176
181	1690	167
182	1698	157
183	1706	148
184	1720	139
185	1727	130
186	1736	120
187	1745	111
188	1755	102
189	1762	92
190	1769	83
191	1778	74
192	1788	64
193	1799	55
194	1810	46
195	1821	37
196	1828	27
197	1838	18
198	1846	9
199	1853	0
