customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
0000-GTOKH,Male,1,No,Yes,26,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,52.76,1350.44,1,No
0001-UGZSW,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,46.15,619.64,0,No
0002-KKXUD,Male,0,No,Yes,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,54.63,2408.46,1,No
0003-HXCVU,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,34.03,96.02,0,Yes
0004-BXLFB,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.53,811.0,2,Yes
0005-UALZV,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),45.36,1256.41,2,No
0006-LYQJP,Male,1,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.81,722.78,1,No
0007-OOSLW,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,520.0,3,No
0008-TYCES,Male,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,62.53,414.53,4,Yes
0009-GUIGR,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,33.73,459.21,0,Yes
0010-DYNRZ,Male,0,No,No,72,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,66.18,4863.05,2,No
0011-IZUBT,Female,0,Yes,Yes,72,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,43.91,3225.79,4,Yes
0012-OGLHO,Male,1,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.65,608.82,2,Yes
0013-CNQDR,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,45.04,1524.94,1,No
0014-HDBFV,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.68,303.24,0,Yes
0015-JDVRZ,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,271.98,2,No
0016-LBJDN,Female,1,Yes,Yes,50,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,39.88,2047.9,1,Yes
